yr;city;ele_max;med_temp;med_temp_min;med_temp_max;prcp;med_umi;med_umi_min;med_umi_max;med_velo_vento;med_velo_rajadas_vento
2003;Registro;1003.00;6.487773972602741;6.321929223744301;6.655593607305938;1059.800000000002;21.244292237442924;20.273858447488585;22.18527397260274;0.6036872146118732;1.3378767123287687
2004;Registro;1003.00;21.324009562841532;20.761612021857964;21.899134790528233;1755.0000000000052;65.18510928961749;62.32729963570127;67.98201275045537;2.256124772313294;4.999692622950808
2005;Registro;1003.00;20.494303652968;19.928641552511376;21.0803652968036;1818.0000000000075;64.26369863013699;61.32522831050228;67.14771689497717;2.1733219178082095;4.887454337899549
2006;Cajati;776.00;20.14492574257429;19.586344884488454;20.741749174917512;0.0;71.30816831683168;68.38613861386139;74.10602310231023;3.478176567656768;6.806064356435639
2006;Iguape;3.00;20.69979797979796;20.199570707070702;21.22989898989899;721.5999999999998;83.49595959595959;80.89217171717172;85.87979797979798;1.8282323232323225;5.022929292929286
2006;Ilha Comprida;609.00;20.720359848484783;20.043402777777768;21.450157828282816;511.79999999999956;73.74337121212122;70.41224747474747;77.01862373737374;3.001420454545455;5.918939393939385
2006;Jacupiranga;743.00;19.313203124999998;18.744427083333292;19.873828125000003;521.3999999999993;71.44635416666667;68.74166666666666;73.99114583333333;3.2005208333333357;6.406223958333332
2006;Juquia;443.00;22.913266666666676;22.297266666666662;23.56013333333331;646.6000000000003;67.84233333333333;64.93066666666667;70.726;3.980633333333323;7.293633333333327
2006;Miracatu;566.00;25.044029209622003;24.43896048109963;25.69445876288659;456.9999999999994;68.23926116838489;65.27448453608247;71.12714776632302;2.2823883161512004;5.676632302405477
2006;Registro;1003.00;20.388367579908653;19.83518264840188;20.964680365296765;2045.6000000000054;62.27739726027397;59.480479452054794;65.0230593607306;2.0919406392694118;4.709748858447499
2006;Sete Barras;399.00;23.464310109289627;22.708982240437162;24.22021857923494;499.9999999999995;71.16564207650273;67.71243169398907;74.57103825136612;2.293169398907102;5.378415300546451
2007;Cajati;776.00;20.13049086758002;19.498630136986264;20.80390410958903;0.0;70.7087899543379;67.51609589041095;73.77146118721461;3.0166210045662054;6.168618721461216
2007;Cananeia;734.00;21.7404411764706;21.107843137254907;22.39944295900183;476.7999999999995;59.45565953654189;56.626114081996434;62.26292335115865;1.9070855614973259;4.8733511586452725
2007;Eldorado;460.00;24.624621212121255;23.96584595959596;25.310921717171723;390.19999999999965;53.583017676767675;50.80018939393939;56.37973484848485;2.8671717171717073;5.717897727272727
2007;Iguape;3.00;16.563550228310508;16.193938356164434;16.961084474885897;1244.0000000000036;62.605593607305934;60.62614155251141;64.41837899543378;1.1569178082191829;3.2843150684931435
2007;Ilha Comprida;609.00;19.585513698630095;18.89601598173508;20.30183789954336;1066.0000000000032;67.9972602739726;64.80833333333334;71.1285388127854;2.400388127853894;4.8180479452054765
2007;Iporanga;525.00;22.651530612244873;22.00119047619046;23.296173469387735;120.00000000000006;64.36054421768708;60.935374149659864;67.67517006802721;1.9761904761904754;4.706547619047616
2007;Jacupiranga;743.00;19.66506849315061;19.0978652968036;20.257625570776245;839.6000000000001;72.40239726027397;69.66221461187214;75.07990867579909;2.7492694063926923;5.690821917808245
2007;Juquia;443.00;18.472226027397145;17.91249999999997;19.00786529680358;1336.8000000000022;56.85730593607306;54.20901826484018;59.364383561643834;2.2572260273972553;4.700159817351612
2007;Miracatu;566.00;21.657808219178122;20.987694063926913;22.362168949771657;1523.6000000000056;69.9445205479452;66.78573059360731;73.0667808219178;2.1391438356164363;4.9382191780821865
2007;Pedro de Toledo;497.00;22.05778301886791;21.45007861635222;22.7010220125786;308.9999999999997;67.91588050314465;64.48034591194968;71.27279874213836;2.2043238993710697;4.977044025157237
2007;Registro;1003.00;21.606335616438372;21.022682648401744;22.20412100456631;1402.0000000000073;61.264954337899546;58.396118721461185;64.07625570776256;2.246769406392693;5.053801369863019
2007;Sete Barras;399.00;22.045616438356156;21.224988584474918;22.893892694063915;1303.0000000000039;73.28070776255707;69.74497716894977;76.69486301369864;1.9598744292237542;4.630125570776275
2008;Barra do Turvo;660.00;12.944276556776577;12.537431318681367;13.382738095238082;665.0;71.57989926739927;69.60119047619048;73.3385989010989;0.811538461538459;2.874198717948717
2008;Cajati;776.00;19.43808060109284;18.798235428051022;20.114412568306015;769.7999999999998;74.95173041894354;71.83526867030966;77.92486338797814;2.2015710382513665;4.588797814207632
2008;Cananeia;734.00;21.36161202185792;20.76091757741351;22.00126366120221;1716.000000000009;69.82513661202186;66.80954007285975;72.7627504553734;1.5441939890710448;4.295514571949006
2008;Eldorado;460.00;23.880817395264188;23.20932377049189;24.576229508196686;1604.0000000000052;65.59130236794171;62.50671675774135;68.7040072859745;2.6741234061930776;5.383834244080145
2008;Iguape;3.00;18.35543032786884;17.909266848815925;18.795229963570144;1711.2000000000137;74.0165072859745;71.66006375227687;76.07126593806922;1.4677709471766975;4.155623861566473
2008;Ilha Comprida;609.00;19.085974499089215;18.408913934426216;19.80366575591985;1126.6000000000047;72.13695355191257;68.98668032786885;75.1877276867031;2.4362477231329716;4.911213570127507
2008;Iporanga;525.00;21.892099271402472;21.155874316939844;22.67184653916209;1069.400000000002;70.20081967213115;66.64537795992715;73.75774134790528;1.810188979963572;4.399760928961737
2008;Itariri;534.00;17.894378306878327;17.301488095238117;18.488194444444467;393.59999999999974;58.45386904761905;55.78769841269841;61.02215608465608;2.477711640211642;5.458134920634906
