K;Ca;Mg
430.1;1963.9200000000003;782.0
469.2;2084.1600000000003;966.0
500.48;1963.9200000000003;1012.0000000000001
461.38000000000005;2164.32;966.0
445.74000000000007;2004.0;874.0
477.02;2044.08;1058.0
320.62;1923.84;874.0
500.48;2124.24;966.0
500.48;2044.08;782.0
344.08000000000004;1763.5200000000002;736.0
359.71999999999997;1763.5200000000002;828.0
586.5;2364.7200000000003;1242.0
617.78;2244.48;1012.0000000000001
469.2;1963.9200000000003;828.0
367.54;2044.08;1012.0000000000001
484.84;1723.44;828.0
406.64;2084.1600000000003;966.0
398.82;2084.1600000000003;828.0
414.46000000000004;1803.6000000000001;920.0
414.46000000000004;2044.08;920.0
414.46000000000004;2084.1600000000003;966.0
398.82;2124.24;1012.0000000000001
547.4;2004.0;966.0
430.1;1883.7600000000002;782.0
570.86;2244.48;1058.0
625.6;1242.48;414.0
492.66;1763.5200000000002;828.0
430.1;2284.56;1150.0
469.2;1923.84;828.0
422.28000000000003;1683.3600000000001;920.0
422.28000000000003;2084.1600000000003;920.0
539.58;1923.84;920.0
375.36;1843.6799999999998;828.0
430.1;1963.9200000000003;920.0
453.55999999999995;2044.08;736.0
477.02;1923.84;874.0
398.82;2004.0;920.0
469.2;2204.4;920.0
422.28000000000003;1963.9200000000003;874.0
500.48;2244.48;1012.0000000000001
484.84;1963.9200000000003;920.0
500.48;1763.5200000000002;828.0
406.64;1402.8;690.0
578.68;2444.88;1150.0
500.48;2244.48;966.0
500.48;2685.36;920.0
477.02;2925.84;1104.0
156.4;2124.24;736.0
156.4;2244.48;598.0
156.4;2204.4;690.0
156.4;2084.1600000000003;644.0
156.4;2645.2799999999997;644.0
156.4;2164.32;598.0
156.4;2324.64;598.0
234.6;1683.3600000000001;782.0
234.6;1603.2;782.0
156.4;2004.0;644.0
156.4;2484.96;552.0
156.4;1883.7600000000002;368.0
234.6;2164.32;552.0
156.4;2204.4;828.0
156.4;1683.3600000000001;644.0
156.4;2164.32;828.0
78.2;1683.3600000000001;506.00000000000006
156.4;2244.48;598.0
234.6;2404.8;736.0
156.4;2164.32;644.0
156.4;2404.8;736.0
234.6;2204.4;874.0
156.4;2244.48;690.0
117.3;2565.1200000000003;920.0
156.4;2004.0;690.0
