MO;pHCaCl2;K;Ca;Mg;H+Al;Al;S;B;Cu;Fe;Mn;Zn;SB;CTC_efetiva;CTC_total;V
48.0;5.0;2.0;58.0;15.0;41.0;1.0;10.0;0.0;6.0;21.0;28.0;4.0;75.0;76.0;116.0;64.65517241379311
47.0;5.0;2.0;57.0;16.0;58.0;0.0;7.0;0.0;5.0;20.0;45.0;4.0;75.0;75.0;133.0;56.390977443609025
41.0;5.0;2.0;60.0;17.0;33.0;0.0;6.0;0.0;6.0;22.0;22.0;4.0;79.0;79.0;112.0;70.53571428571429
48.0;5.0;2.0;51.0;14.0;34.0;0.0;5.0;1.0;5.0;45.0;10.9;3.0;67.0;67.0;101.0;66.33663366336634
38.0;5.0;2.0;54.0;15.0;40.0;0.0;4.0;0.27;6.0;25.0;32.0;4.0;71.0;71.0;111.0;63.96396396396396
44.0;5.0;2.0;55.0;19.0;42.0;0.0;8.0;1.0;7.0;25.0;47.6;4.0;76.0;76.0;118.0;64.40677966101694
50.0;5.0;2.0;56.0;12.0;38.0;0.0;9.0;1.0;6.0;22.0;13.5;3.0;70.0;70.0;108.0;64.81481481481481
39.0;5.0;2.0;57.0;15.0;38.0;0.0;9.0;0.62;6.0;21.0;28.0;3.0;74.0;74.0;112.0;66.07142857142857
52.0;5.0;3.0;62.0;21.0;33.0;0.0;8.0;0.91;6.9;35.0;40.5;4.0;86.0;86.0;119.0;72.26890756302521
41.0;5.0;2.0;55.0;15.0;36.0;1.0;6.0;0.29;5.0;16.0;30.0;3.0;72.0;73.0;108.0;66.66666666666666
44.0;5.0;2.0;52.0;14.0;38.0;1.0;7.0;0.0;5.0;18.0;32.0;3.0;68.0;69.0;106.0;64.15094339622641
46.0;5.0;2.0;60.0;15.0;44.0;0.0;8.0;0.0;6.0;20.0;10.0;3.0;77.0;77.0;121.0;63.63636363636363
46.0;5.0;3.0;49.0;13.0;40.0;0.0;14.0;0.23;5.0;20.0;19.0;3.0;65.0;65.0;105.0;61.904761904761905
51.0;5.0;3.0;61.0;17.0;42.0;0.0;8.0;0.0;5.0;22.0;30.0;4.0;81.0;81.0;123.0;65.85365853658537
40.0;5.0;2.0;59.0;17.0;42.0;1.0;6.0;0.0;5.0;23.0;32.0;4.0;78.0;79.0;120.0;65.0
46.0;5.0;2.0;52.0;16.0;44.0;0.0;7.0;0.0;5.0;24.0;30.0;3.0;70.0;70.0;114.0;61.40350877192983
55.0;5.0;3.0;57.0;14.0;36.0;1.0;9.0;1.0;7.0;36.0;27.0;4.0;74.0;75.0;110.0;67.27272727272727
51.0;5.0;2.0;61.0;17.0;42.0;0.0;8.0;0.0;4.0;22.0;30.0;4.0;80.0;80.0;122.0;65.57377049180327
49.0;5.0;2.0;58.0;15.0;39.0;0.0;8.0;0.0;5.0;16.0;32.0;3.0;75.0;75.0;114.0;65.78947368421053
40.0;5.0;3.0;55.0;17.0;42.0;0.0;10.0;0.0;5.0;20.0;28.0;3.0;75.0;75.0;117.0;64.1025641025641
51.0;5.0;3.4;58.0;15.0;40.0;0.0;6.0;1.0;5.0;24.0;26.0;4.0;76.4;76.4;116.4;65.63573883161511
52.0;5.0;3.0;53.0;16.0;37.0;1.0;7.0;0.26;6.0;25.0;37.3;4.0;72.0;73.0;109.0;66.05504587155964
78.0;4.6;3.0;69.0;21.0;42.0;1.0;6.0;0.1;2.4;27.0;10.0;3.0;93.0;94.0;135.0;68.88888888888889
49.0;5.0;3.0;58.0;17.0;49.0;0.0;9.0;1.0;5.0;20.0;14.6;3.0;78.0;78.0;127.0;61.417322834645674
47.0;5.0;2.0;57.0;17.0;45.0;1.0;9.0;0.79;7.0;27.0;43.0;4.0;76.0;77.0;121.0;62.8099173553719
48.0;5.0;3.4;58.0;14.0;43.0;0.0;8.0;0.0;5.0;28.0;26.0;5.0;75.4;75.4;118.4;63.682432432432435
43.0;5.0;3.0;47.0;15.0;39.0;1.0;13.0;1.0;5.0;20.0;16.0;4.0;65.0;66.0;104.0;62.5
48.0;5.0;2.0;62.0;16.0;44.0;0.0;7.0;0.0;5.0;26.0;23.0;4.0;80.0;80.0;124.0;64.51612903225806
48.0;5.0;3.0;55.0;15.0;42.0;1.0;12.0;0.0;6.0;17.0;33.7;3.0;73.0;74.0;115.0;63.47826086956522
50.0;5.0;2.0;58.0;14.0;37.0;1.0;9.0;1.0;6.0;22.0;14.7;3.0;74.0;75.0;111.0;66.66666666666666
43.0;5.0;2.0;55.0;15.0;55.0;0.0;6.0;0.0;6.0;20.0;50.7;4.0;72.0;72.0;127.0;56.69291338582677
46.0;5.0;2.0;60.0;14.0;41.0;0.0;8.0;1.0;6.0;28.0;22.0;3.0;76.0;76.0;117.0;64.95726495726495
48.0;5.0;2.0;58.0;19.0;56.0;0.0;8.0;0.0;6.0;23.0;45.7;4.0;79.0;79.0;135.0;58.51851851851851
58.0;5.0;2.0;55.0;15.0;44.0;0.0;4.0;0.0;6.0;23.0;40.8;3.0;72.0;72.0;116.0;62.06896551724138
51.0;5.0;2.0;57.0;14.0;36.0;1.0;7.0;0.0;5.0;14.0;27.0;3.0;73.0;74.0;109.0;66.97247706422019
51.0;5.0;2.0;60.0;15.0;36.0;0.0;8.0;0.0;6.0;18.0;28.0;3.0;77.0;77.0;113.0;68.14159292035397
44.0;5.0;3.0;57.0;14.0;36.0;1.0;5.0;0.0;6.0;23.0;35.1;3.0;74.0;75.0;110.0;67.27272727272727
49.0;5.0;2.0;57.0;15.0;39.0;0.0;10.0;0.0;6.0;21.0;36.5;3.0;74.0;74.0;113.0;65.48672566371681
44.0;5.0;2.0;50.0;13.0;42.0;0.0;11.0;1.0;5.0;24.0;25.0;3.0;65.0;65.0;107.0;60.747663551401864
47.0;5.0;2.0;51.0;15.0;41.0;0.0;6.0;0.88;6.0;18.0;32.0;4.0;68.0;68.0;109.0;62.38532110091744
39.0;5.0;2.0;68.0;18.0;38.0;0.0;11.0;0.0;6.0;20.0;12.0;3.0;88.0;88.0;126.0;69.84126984126983
54.0;5.0;2.0;61.0;15.0;41.0;0.0;8.0;0.0;7.0;25.0;27.0;3.0;78.0;78.0;119.0;65.54621848739495
49.0;5.0;3.0;71.0;14.0;34.0;1.0;6.0;0.68;5.0;30.0;27.0;3.0;88.0;89.0;122.0;72.1311475409836
46.0;5.0;2.0;56.0;19.0;42.0;1.0;8.0;0.0;6.0;24.0;11.8;3.0;77.0;78.0;119.0;64.70588235294117
