city;yr;mo;da;latitude;prcp_dia;tmax;tmin;med_temp
Barra do Turvo;2008;12;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;2;24;1.4;18.8;0.0;0.7791666666666667
Barra do Turvo;2008;12;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;29;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;3;24;0.0;18.0;0.0;2.0749999999999997
Barra do Turvo;2008;12;30;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;31;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;4;24;0.0;17.4;0.0;3.1750000000000003
Barra do Turvo;2008;12;5;24;0.0;18.0;0.0;0.7416666666666667
Barra do Turvo;2008;12;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;7;24;0.0;16.8;0.0;0.6791666666666667
Barra do Turvo;2008;12;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2008;12;9;24;0.0;17.4;0.0;1.4166666666666667
Barra do Turvo;2008;7;10;24;0.0;21.4;11.7;15.670833333333333
Barra do Turvo;2008;7;11;24;0.0;8.9;10.7;12.741666666666669
Barra do Turvo;2008;7;12;24;0.0;9.8;10.1;14.387499999999998
Barra do Turvo;2008;7;13;24;0.0;9.8;10.6;12.595833333333333
Barra do Turvo;2008;7;14;24;0.2;9.5;10.1;13.224999999999996
Barra do Turvo;2008;7;15;24;0.0;8.9;10.2;10.258333333333333
Barra do Turvo;2008;7;16;24;0.0;9.3;10.0;13.616666666666667
Barra do Turvo;2008;7;17;24;0.2;9.9;10.1;13.816666666666668
Barra do Turvo;2008;7;18;24;0.2;9.5;12.1;15.050000000000002
Barra do Turvo;2008;7;19;24;0.0;9.3;10.3;13.999999999999998
Barra do Turvo;2008;7;20;24;0.0;9.1;10.5;13.879166666666668
Barra do Turvo;2008;7;21;24;0.2;9.3;10.5;13.862499999999995
Barra do Turvo;2008;7;22;24;0.0;9.9;10.2;15.079166666666667
Barra do Turvo;2008;7;23;24;4.8;20.1;12.1;14.970833333333337
Barra do Turvo;2008;7;24;24;27.799999999999997;18.1;14.2;15.6875
Barra do Turvo;2008;7;25;24;0.0;21.1;11.5;15.808333333333337
Barra do Turvo;2008;7;26;24;0.0;8.9;10.0;12.108333333333334
Barra do Turvo;2008;7;27;24;0.0;9.7;11.5;13.208333333333336
Barra do Turvo;2008;7;28;24;0.2;9.5;10.3;16.291666666666668
Barra do Turvo;2008;7;29;24;0.2;23.9;14.1;17.108333333333334
Barra do Turvo;2008;7;3;24;0.6000000000000001;19.1;0.0;2.4
Barra do Turvo;2008;7;30;24;0.0;24.6;13.7;18.27083333333334
Barra do Turvo;2008;7;31;24;0.0;22.3;12.5;16.545833333333334
Barra do Turvo;2008;7;4;24;0.0;9.9;10.0;12.845833333333333
Barra do Turvo;2008;7;5;24;0.0;9.3;10.3;12.991666666666665
Barra do Turvo;2008;7;6;24;0.0;8.3;10.7;12.383333333333331
Barra do Turvo;2008;7;7;24;0.0;9.9;10.3;14.079166666666666
Barra do Turvo;2008;7;8;24;0.0;9.9;10.6;13.58333333333333
Barra do Turvo;2008;7;9;24;0.0;22.4;10.7;14.995833333333332
Barra do Turvo;2008;8;1;24;0.8;19.6;13.5;16.216666666666665
Barra do Turvo;2008;8;10;24;3.2000000000000006;17.9;12.0;13.741666666666665
Barra do Turvo;2008;8;11;24;0.4;19.8;11.9;15.545833333333334
Barra do Turvo;2008;8;12;24;0.0;27.0;13.1;18.562499999999996
Barra do Turvo;2008;8;13;24;19.4;16.7;13.6;14.720833333333333
Barra do Turvo;2008;8;14;24;1.0;17.3;13.2;15.125
Barra do Turvo;2008;8;15;24;9.4;22.6;13.8;16.825
Barra do Turvo;2008;8;16;24;0.0;25.7;13.2;18.912499999999998
Barra do Turvo;2008;8;17;24;0.0;28.3;11.4;18.974999999999998
Barra do Turvo;2008;8;18;24;0.0;9.9;10.1;17.058333333333334
Barra do Turvo;2008;8;19;24;0.2;27.4;10.5;16.55
Barra do Turvo;2008;8;2;24;0.8;22.8;15.4;17.8625
Barra do Turvo;2008;8;20;24;0.2;27.8;10.1;17.954166666666666
Barra do Turvo;2008;8;21;24;0.0;27.9;15.1;19.562500000000004
Barra do Turvo;2008;8;22;24;0.6000000000000001;19.0;10.5;14.583333333333329
Barra do Turvo;2008;8;23;24;1.9999999999999998;13.0;10.3;11.375
Barra do Turvo;2008;8;24;24;0.8;20.9;11.8;15.308333333333335
Barra do Turvo;2008;8;25;24;0.0;28.4;14.3;19.204166666666662
Barra do Turvo;2008;8;26;24;0.2;22.2;15.0;16.96666666666667
Barra do Turvo;2008;8;27;24;0.0;23.9;10.3;15.787499999999996
Barra do Turvo;2008;8;28;24;0.0;25.3;11.0;15.983333333333334
Barra do Turvo;2008;8;29;24;0.2;21.9;10.4;15.558333333333332
Barra do Turvo;2008;8;3;24;4.4;18.5;12.8;15.508333333333333
Barra do Turvo;2008;8;30;24;0.0;13.6;10.0;11.316666666666668
Barra do Turvo;2008;8;31;24;0.8;9.9;10.1;12.316666666666665
Barra do Turvo;2008;8;4;24;0.0;18.7;10.4;13.908333333333337
Barra do Turvo;2008;8;5;24;0.0;22.8;10.1;15.100000000000001
Barra do Turvo;2008;8;6;24;5.8;16.0;13.4;14.429166666666665
Barra do Turvo;2008;8;7;24;46.400000000000006;16.8;12.9;14.908333333333331
Barra do Turvo;2008;8;8;24;4.8;15.7;11.7;13.466666666666669
Barra do Turvo;2008;8;9;24;31.0;13.4;11.9;12.520833333333334
Barra do Turvo;2008;9;1;24;0.2;22.8;10.0;14.737500000000004
Barra do Turvo;2008;9;10;24;0.0;22.1;14.7;16.999999999999996
Barra do Turvo;2008;9;11;24;0.4;28.5;16.5;19.495833333333334
Barra do Turvo;2008;9;12;24;15.4;24.9;16.1;19.40833333333333
Barra do Turvo;2008;9;13;24;30.199999999999996;16.8;11.7;14.791666666666666
Barra do Turvo;2008;9;14;24;8.2;16.8;11.1;12.850000000000001
Barra do Turvo;2008;9;15;24;0.4;15.7;10.8;12.829166666666666
Barra do Turvo;2008;9;16;24;1.6;9.5;10.0;11.666666666666666
Barra do Turvo;2008;9;17;24;1.6;9.6;10.2;10.737499999999999
Barra do Turvo;2008;9;18;24;0.2;17.2;10.0;12.179166666666667
Barra do Turvo;2008;9;19;24;4.0;9.9;10.3;12.695833333333333
Barra do Turvo;2008;9;2;24;0.0;27.0;11.4;17.979166666666668
Barra do Turvo;2008;9;20;24;3.4;16.6;11.8;13.758333333333331
Barra do Turvo;2008;9;21;24;9.4;21.7;12.3;16.158333333333335
Barra do Turvo;2008;9;22;24;0.0;9.6;10.3;12.979166666666666
Barra do Turvo;2008;9;23;24;0.0;9.8;10.1;13.133333333333335
Barra do Turvo;2008;9;24;24;9.999999999999998;15.8;12.0;13.1
Barra do Turvo;2008;9;25;24;7.8;16.9;12.1;13.958333333333336
Barra do Turvo;2008;9;26;24;4.6000000000000005;18.2;12.9;14.549999999999999
Barra do Turvo;2008;9;27;24;5.0;16.4;12.4;14.029166666666669
Barra do Turvo;2008;9;28;24;10.2;18.5;12.9;14.58333333333333
Barra do Turvo;2008;9;29;24;1.7999999999999998;20.7;11.2;14.924999999999999
Barra do Turvo;2008;9;3;24;0.2;9.6;10.3;17.583333333333332
Barra do Turvo;2008;9;30;24;1.0;20.7;11.7;15.654166666666667
Barra do Turvo;2008;9;4;24;0.4;29.2;10.3;16.50416666666667
Barra do Turvo;2008;9;5;24;0.8;16.8;12.4;14.279166666666663
Barra do Turvo;2008;9;6;24;4.8;20.3;14.0;16.575000000000003
Barra do Turvo;2008;9;7;24;0.2;8.6;10.0;13.966666666666674
Barra do Turvo;2008;9;8;24;1.4;8.8;10.0;10.158333333333333
Barra do Turvo;2008;9;9;24;10.399999999999999;16.7;11.7;13.695833333333333
Barra do Turvo;2009;1;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;12;24;0.0;0.0;0.0;0.0
