yr;city;ele_max;med_temp;med_temp_min;med_temp_max;prcp;med_umi;med_umi_min;med_umi_max;med_velo_vento;med_velo_rajadas_vento
2003;Registro;1003.00;5.9060045662100435;5.806324200913237;6.01358447488584;370.79999999999967;23.223287671232878;22.564155251141553;23.833333333333332;0.5653196347031959;1.1642922374429223
2004;Registro;1003.00;19.107991803278683;18.73463114754094;19.516507285974477;728.9999999999993;72.84540072859745;70.80350637522768;74.71493624772313;2.0784380692167588;4.286999089253176
2005;Registro;1003.00;18.370844748858463;17.984771689497716;18.78796803652968;639.6000000000003;71.7824200913242;69.65844748858447;73.74109589041096;2.024383561643836;4.225456621004566
2006;Cajati;776.00;17.616254125412535;17.31881188118811;18.020792079207926;0.0;80.753300330033;78.61633663366337;82.39026402640265;3.389686468646861;6.4444719471947245
2006;Iguape;3.00;18.67818181818179;18.282323232323215;19.097020202020197;406.1999999999992;90.20202020202021;88.58080808080808;91.66666666666667;1.1627777777777741;3.818787878787881
2006;Ilha Comprida;609.00;17.733775252525234;17.225252525252515;18.25378787878788;195.79999999999987;85.37373737373737;82.83585858585859;87.6875;2.4501262626262656;4.627588383838385
2006;Jacupiranga;743.00;16.694479166666657;16.41640625;17.09302083333336;255.99999999999991;81.684375;79.71614583333333;83.23020833333334;2.8759375000000014;5.595625000000001
2006;Juquia;443.00;19.79660000000001;19.48593333333331;20.305733333333343;371.19999999999976;79.106;76.56133333333334;80.89333333333333;3.8548000000000076;6.758399999999989
2006;Miracatu;566.00;22.122680412371125;21.818642611683845;22.622250859106543;263.5999999999998;78.94931271477664;76.49312714776632;80.65893470790378;2.1774054982817868;5.200773195876297
2006;Registro;1003.00;18.21522831050232;17.859406392694083;18.626164383561633;833.1999999999999;69.4486301369863;67.39086757990867;71.22785388127853;1.9550913242009198;4.037853881278536
2006;Sete Barras;399.00;19.875614754098336;19.38415300546446;20.51174863387979;245.39999999999998;84.79918032786885;81.89344262295081;87.1584699453552;1.6237021857923453;4.052185792349737
2007;Cajati;776.00;17.32840182648406;16.92639269406393;17.841849315068536;0.0;81.55958904109589;78.96689497716895;83.66575342465754;2.7213470319634707;5.479178082191769
2007;Cananeia;734.00;18.608288770053505;18.229901960784336;19.18123885918004;246.39999999999986;70.19429590017825;67.46033868092691;72.06016042780749;1.5667557932263787;3.967780748663098
2007;Eldorado;460.00;21.60530303030305;21.190782828282842;22.166035353535364;248.99999999999986;63.24558080808081;60.60227272727273;65.17739898989899;2.58926767676768;4.82556818181818
2007;Iguape;3.00;12.885228310502315;12.675753424657525;13.162260273972617;618.9999999999994;58.87785388127854;57.898858447488585;59.54908675799087;0.45545662100456535;1.8206164383561663
2007;Ilha Comprida;609.00;15.719703196347016;15.250593607305953;16.28312785388127;438.7999999999995;76.3107305936073;73.8972602739726;78.20502283105023;1.8867808219178066;3.516963470319628
2007;Iporanga;525.00;19.53367346938773;19.101700680272078;20.02738095238095;83.0;75.87074829931973;73.31292517006803;78.14625850340136;1.4394557823129266;3.548469387755103
2007;Jacupiranga;743.00;17.092283105022904;16.818356164383655;17.54869863013703;359.1999999999997;82.77945205479452;80.67853881278539;84.28310502283105;2.408013698630137;4.8258675799086825
2007;Juquia;443.00;15.868949771689534;15.585547945205489;16.324634703196377;629.1999999999998;66.59794520547945;64.31780821917808;67.86232876712329;2.132420091324201;4.191461187214595
2007;Miracatu;566.00;18.289863013698685;17.907694063926964;18.906278538812874;701.1999999999998;82.85388127853881;80.04931506849314;84.48675799086757;1.8259360730593692;4.0871461187214475
2007;Pedro de Toledo;497.00;19.181132075471687;18.779088050314456;19.71320754716979;161.79999999999995;78.35534591194968;75.61635220125787;80.36477987421384;2.060062893081761;4.433490566037733
2007;Registro;1003.00;19.30739726027401;18.906461187214518;19.741621004566266;667.1999999999974;68.90022831050229;66.77374429223744;70.84155251141553;2.108607305936076;4.357077625570772
2007;Sete Barras;399.00;17.93148401826483;17.41968036529681;18.630000000000052;674.8000000000004;89.08835616438355;86.40867579908675;90.91004566210046;1.132945205479452;3.018721461187216
2008;Barra do Turvo;660.00;11.568223443223445;11.289377289377258;11.84056776556778;314.19999999999874;79.04120879120879;78.36630036630036;79.7760989010989;0.4896062271062283;2.1379578754578783
2008;Cajati;776.00;16.672700364298723;16.273064663023664;17.14123406193073;412.1999999999997;85.35245901639344;83.17827868852459;87.20036429872495;1.9678278688524624;4.087499999999996
2008;Cananeia;734.00;18.57204007285978;18.22015027322406;19.072745901639337;695.6000000000005;80.76070127504553;78.33151183970855;82.54439890710383;1.1259335154826988;3.2931466302367904
2008;Eldorado;460.00;21.03306010928959;20.63249089253189;21.57620673952643;859.2000000000005;75.98406193078324;73.35610200364299;77.87978142076503;2.551411657559195;4.72078779599271
2008;Iguape;3.00;14.37067395264118;14.071994535519167;14.66878415300546;800.5999999999999;70.55897085610201;69.25865209471768;71.42395264116576;0.8270264116575571;2.8376138433515505
2008;Ilha Comprida;609.00;15.38053278688526;14.911316029143896;15.930145719490024;409.1999999999993;80.30851548269581;78.0915300546448;82.06762295081967;1.9689207650273242;3.715277777777773
2008;Iporanga;525.00;18.329143897996374;17.870081967213135;18.958811475409824;503.9999999999994;83.2035519125683;80.48041894353369;85.15915300546447;1.1738387978142086;3.105806010928964
2008;Itariri;534.00;14.91121031746032;14.603769841269827;15.45201719576721;201.0;68.41104497354497;65.77645502645503;69.93716931216932;2.278637566137569;5.042361111111107
2008;Jacupiranga;743.00;16.65168488160289;16.38030510018217;17.084927140255026;591.2;85.70560109289617;83.76206739526411;87.10018214936248;2.594649362477232;5.166074681238615
